id_couleur,id_couleur_bricklink,id_couleur_rebrickable,nom,nom_Lego,nom_Bricklink,nom_Rebrickable,ton,est_transparent,image_ref
1452,232,1061,Trans. Blue with Opalescence,Transparent Blue with Opalescence,Satin Trans-Dark Blue,Opal Trans-Dark Blue,14,True,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6337455/00001.png
1453,15,41,Trans. Light Blue,Transparent Light Blue,Trans-Light Blue,Trans-Light Blue,14,True,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6240551/00001.png
1454,223,1053,Trans. Light Blue with Opalescence,Transparent Light Blue with Opalescence,Satin Trans-Light Blue,Opal Trans-Light Blue,14,True,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6514272/00001.png
1455,162,1003,Trans. Light Blue with Glitter,Transparent Light Blue with Glitter,Glitter Trans-Light Blue,Glitter Trans-Light Blue,14,True,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6507903/00001.png
1501,36,10,Bright Green,Bright Green,Bright Green,Bright Green,15,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6452907/00001.png
1502,34,27,Bright Yellowish Green,Bright Yellowish Green,Lime,Lime,15,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/4220634/00001.png
1503,6,2,Dark Green,Dark Green,Green,Green,15,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/300528/00001.png
1504,155,326,Olive Green,Olive Green,Olive Green,Olive Green,15,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6058242/00001.png
1505,48,378,Sand Green,Sand Green,Sand Green,Sand Green,15,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/4521948/00001.png
1506,158,158,Spring Yellowish Green,Spring Yellowish Green,Yellowish Green,Yellowish Green,15,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6104578/00001.png
1507,80,288,Earth Green,Earth Green,Dark Green,Dark Green,15,False,https://www.lego.com/cdn/product-assets/element.spin.photoreal/4521915/00001.png
1550,20,34,Trans. Green,Transparent Green,Trans-Green,Trans-Green,15,True,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6514266/00001.png
1551,108,35,Trans. Bright Green,Transparent Bright Green,Trans-Bright Green,Trans-Bright Green,15,True,https://www.lego.com/cdn/product-assets/element.spin.photoreal/6514269/00001.png
